C:\Program Files\nodejs\node.exe .\dist\src\server.js -debug
> Express ready on http://localhost:3003 : debug=true, pdok=false, runpdok=false
CHILD got start-message
Upload in bestand gezet: ./appdata/publish/temp/gwsw_datamodel_upload.ttl
PARENT got started-message
"reclame";"Attribuut is IMBOR-Kern"
"Informatiezuil";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"reclame";"Attribuut is IMBOR-Kern"
Inlaatconstructie - Klasse met attributen zijn exclusief SW: Volgens KlassenAttributen (de klasse + attributen zijn allen SW)
"Kabel";"Klasse is IMBOR-Kern"
"kabelsplitspunt";"Attribuut is IMBOR-Kern"
"kabelVerschijningsvorm";"Attribuut is IMBOR-Kern"
"diepte";"Attribuut is IMBOR-Kern"
"aanwezigheid zekering";"Attribuut is IMBOR-Kern"
"voltage";"Attribuut is IMBOR-Kern"
"Kabeldraagsysteem";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"Kabelgeul";"Klasse is IMBOR-Kern"
"Kabels- en leidingenbord";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"opschrift";"Attribuut is IMBOR-Kern"
"letterhoogteklasse opschrift";"Attribuut is IMBOR-Kern"
"stijl opschrift";"Attribuut is IMBOR-Kern"
"Kademuur";"Klasse is IMBOR-Kern"
"type waterkerende constructie";"Attribuut is IMBOR-Kern"
"oppervlakte bovenkant kademuur";"Attribuut is IMBOR-Kern"
"hoogte bovenkant kademuur";"Attribuut is IMBOR-Kern"
"type bovenkant kademuur";"Attribuut is IMBOR-Kern"
"type verankering";"Attribuut is IMBOR-Kern"
"wegnummer";"Attribuut is IMBOR-Kern"
"herbeoordeelde belastingklasse";"Attribuut is IMBOR-Kern"
"originele belastingklasse";"Attribuut is IMBOR-Kern"
"Kathodische beschermingspaal";"Klasse is IMBOR-Kern"
"Klimijzer";"Klasse is IMBOR-Kern"
"Klimplant";"Klasse is IMBOR-Kern"
"hoogte";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"lengte";"Attribuut is IMBOR-Kern"
"knipoppervlakte";"Attribuut is IMBOR-Kern"
"Klok";"Klasse is IMBOR-Kern"
"reclame";"Attribuut is IMBOR-Kern"
"Knooppunt";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
Kolk - Klasse met attributen zijn exclusief SW: Volgens KlassenAttributen (de klasse + attributen zijn allen SW)
"Kooldioxideleiding";"Klasse is IMBOR-Kern"
"Kruispunt";"Klasse is IMBOR-Kern"
"uitritconstructie";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"fietsers in de voorrang";"Attribuut is IMBOR-Kern"
"Kunstobject";"Klasse is IMBOR-Kern"
