Class1,Property,object
http://data.gwsw.nl/1.6/totaal/Overnamepunt,hasAspect,https://data.crow.nl/imbor/def/B62A7BBD-C8BD-4700-99BA-F39EBE48EAA1
http://data.gwsw.nl/1.6/totaal/Overnamepunt,hasAspect,http://data.gwsw.nl/1.6/totaal/Lozingsvergunningnummer
http://data.gwsw.nl/1.6/totaal/Overnamepunt,isPartOf,http://data.gwsw.nl/1.6/totaal/Rioleringsgebied
http://data.gwsw.nl/1.6/totaal/Overnamepunt,isPartOf,http://data.gwsw.nl/1.6/totaal/Transportleiding
http://data.gwsw.nl/1.6/totaal/Dekselorientatie,hasAspect,https://data.crow.nl/imbor/def/BDB53BB7-DEFC-4055-B047-271C5EDDA82A
http://data.gwsw.nl/1.6/totaal/Dekselorientatie,isAspectOf,http://data.gwsw.nl/1.6/totaal/Afdekking
http://data.gwsw.nl/1.6/totaal/Dekselorientatie,hasAspect,http://data.gwsw.nl/1.6/totaal/Putdekselniveau
http://data.gwsw.nl/1.6/totaal/Lijngoot,hasPart,http://data.gwsw.nl/1.6/totaal/Afdekking
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasPart,http://data.gwsw.nl/1.6/totaal/Afsluiteraandrijving
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasPart,http://data.gwsw.nl/1.6/totaal/Standmeter
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasAspect,https://data.crow.nl/imbor/def/00507136-7EB9-47E6-987C-5A76A9099834
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasAspect,http://data.gwsw.nl/1.6/totaal/NiveauBenedenstroomsOpenen
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasAspect,http://data.gwsw.nl/1.6/totaal/NiveauBenedenstroomsSluiten
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasAspect,http://data.gwsw.nl/1.6/totaal/NiveauBovenstroomsOpenen
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasAspect,http://data.gwsw.nl/1.6/totaal/NiveauBovenstroomsSluiten
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasAspect,https://data.crow.nl/imbor/def/721AA6E1-CEC4-4CCE-8EEA-38EE4399DA06
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasAspect,http://data.gwsw.nl/1.6/totaal/StopcodeStroomgroep
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,isPartOf,http://data.gwsw.nl/1.6/totaal/BijzonderePutconstructie
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasConnection,http://data.gwsw.nl/1.6/totaal/Transportleiding
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasConnection,https://data.crow.nl/imbor/def/86C535D2-6A5F-48AF-A3D7-1B21DE0DE6C5
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasAspect,http://data.gwsw.nl/1.6/totaal/StandaardAfsluiterstand
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasAspect,https://data.crow.nl/imbor/def/B85EDA23-8A19-46C4-8D47-9968A45FCB31
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,isPartOf,http://data.gwsw.nl/1.6/totaal/Overstortput
http://data.gwsw.nl/1.6/totaal/MechanischeAfsluiter,hasAspect,http://data.gwsw.nl/1.6/totaal/Energieverliescoefficient
http://data.gwsw.nl/1.6/totaal/InlaatLeiding,isPartOf,http://data.gwsw.nl/1.6/totaal/VrijvervalRioolleiding
http://data.gwsw.nl/1.6/totaal/InlaatLeiding,hasAspect,http://data.gwsw.nl/1.6/totaal/AfstandTotBeginpunt
http://data.gwsw.nl/1.6/totaal/InlaatLeiding,hasAspect,http://data.gwsw.nl/1.6/totaal/AfstandTotEindpunt
http://data.gwsw.nl/1.6/totaal/InlaatRioolput,isPartOf,http://data.gwsw.nl/1.6/totaal/Inspectieput
http://data.gwsw.nl/1.6/totaal/InlaatRioolput,hasAspect,http://data.gwsw.nl/1.6/totaal/AfstandTotBovenzijdePut
http://data.gwsw.nl/1.6/totaal/StedelijkGebied,hasPart,http://data.gwsw.nl/1.6/totaal/Grondwatersysteem
http://data.gwsw.nl/1.6/totaal/StedelijkGebied,hasPart,http://data.gwsw.nl/1.6/totaal/Afvalwatersysteem
http://data.gwsw.nl/1.6/totaal/StedelijkGebied,hasPart,http://data.gwsw.nl/1.6/totaal/Oppervlaktewatersysteem
http://data.gwsw.nl/1.6/totaal/RTC_sturing,hasInput,http://data.gwsw.nl/1.6/totaal/Afvalwatersysteem
